Ticker,Name
^DJI,Dow Jones Industrials (US)
^SPX,S&P 500 (US)
^NDX,NASDAQ 100 (US)
^N225,Nikkei 225 (JP)
^FTSE ,FTSE 100 (UK)
^STOXX,STOXX 50 (EU)
^FCHI,CAC 40 (FR)
^GDAXI,DAX (GERMANY)
000300.SS,CSI 300 (CN)
^HSI,Hang Seng Index (HK)
^KS11,KOSPI Index (KR)
^NSEI,NIFTY 50 (IN)
^BSESN,SENSEX (IN)
^TSE50,TWSE 50 (TW)
^TWII,Taiwan Weighted Index (TW)
^VIX,CBOE Volatility Index
GC=F,Gold Futures
BZ=F,Brent Futures
DX-Y.NYB,US Dollar Index
GBPUSD=X,GBPUSD
EURUSD=X,EURUSD
AUDUSD=X,AUDUSD
JPY=X,USDJPY
CNY=X,USDCNY
TWD=X,USDTWD
KRW=X,USDKRW
BTC-USD,Bitcoin
^TNX, 10y UST
